food_id,name,category_before,category_after,calories,protein,carbs,fat,issue_type,action_taken,review_status,notes
120,Kokoreç,Genel,Et & Tavuk,477,27,4.5,39,category_fix,category: Genel -> Et & Tavuk,needs_review,TÜRKOMP/tarif hesabı gerekir Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
121,Midye Dolma,Balık & Deniz,Balık & Deniz,94,6,5,5.5,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
122,Mercimek Köftesi,Et & Tavuk,Et & Tavuk,240,10.5,36,6,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
123,Pide (Kıymalı),Tahıl & Ekmek,Tahıl & Ekmek,730,35,80,30,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
124,Humus,Baklagil,Baklagil,178,8,14,10,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
125,Revani,Tatlı,Tatlı,338,5,48,14,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
126,Sütlaç,Süt Ürünleri,Tatlı,217,7,36,5,category_fix,category: Süt Ürünleri -> Tatlı,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
127,Aşure,Tatlı,Tatlı,295,7.5,55,5,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
128,Helva (Tahin),Tatlı,Tatlı,276,6,27,16,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
129,Lokum,Tatlı,Tatlı,39,0,9.8,0,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
130,Zeytin (Siyah),Yağ & Sos,Yağ & Sos,45,0.3,2.2,3.9,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
131,Zeytin (Yeşil),Yağ & Sos,Yağ & Sos,55,0.4,1.3,5.3,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
132,Bal,Genel,Kahvaltılık,69,0.1,17.2,0,category_fix,category: Genel -> Kahvaltılık,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
133,Reçel (Kayısı),Genel,Kahvaltılık,56,0.1,13.8,0,category_fix,category: Genel -> Kahvaltılık,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
134,Protein Bar,Genel,Atıştırmalık,237,18,21,9,category_fix,category: Genel -> Atıştırmalık,pending_verification,Kaynak bulunana kadar pending kalsın Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
135,Sosis (Dana),Et & Tavuk,Et & Tavuk,239,9.6,1.6,21.6,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
136,Tavuk Şiş,Et & Tavuk,Et & Tavuk,242,42,1.5,7.5,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
137,Fırın Tavuk But,Et & Tavuk,Et & Tavuk,224,26.4,0,13.2,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
138,Kısır,Yemek,Yemek,309,9,48,9,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
139,Pilav (Tereyağlı),Süt Ürünleri,Tahıl & Ekmek,288,5.6,52,6.4,category_fix,category: Süt Ürünleri -> Tahıl & Ekmek,pending_verification,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
140,Soya Sütü,Süt Ürünleri,Süt Ürünleri,131,7.9,15.1,4.3,none,review_metadata_added,needs_review,USDA adayını elle kontrol et; pişmiş/çiğ farkını netleştir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
141,Şeftali,Genel,Meyve,59,1.4,14,0.4,category_fix,category: Genel -> Meyve,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
142,Ayva,Genel,Meyve,57,0.4,15,0.2,category_fix,category: Genel -> Meyve,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
143,Limon,Genel,Meyve,17,0.6,5.4,0.2,category_fix,category: Genel -> Meyve,needs_review,Limon makroları ve USDA eşleşmesi kaynakla doğrulanmalı. DÜZELTME ÖNCELİĞİ YÜKSEK Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
144,Vişne,Genel,Meyve,50,1,12,0.3,category_fix,category: Genel -> Meyve,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
145,Böğürtlen,Genel,Meyve,43,1.4,10,0.5,category_fix,category: Genel -> Meyve,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
146,Ahududu,Genel,Meyve,52,1.2,12,0.7,category_fix,category: Genel -> Meyve,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
147,Dut (Taze),Genel,Meyve,43,1.4,10,0.4,category_fix,category: Genel -> Meyve,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
148,Mango,Genel,Meyve,99,1.4,25,0.6,category_fix,category: Genel -> Meyve,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
149,Papaya,Genel,Meyve,59,0.9,15,0.4,category_fix,category: Genel -> Meyve,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
150,Kayısı (Kuru),Genel,Meyve,48,0.7,12.5,0.1,category_fix,category: Genel -> Meyve,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
151,Kuru Üzüm,Genel,Meyve,129,1.3,34,0.2,category_fix,category: Genel -> Meyve,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
152,Soğan (Çiğ),Genel,Sebze,40,1.1,9.3,0.1,category_fix,category: Genel -> Sebze,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
153,Sarımsak,Genel,Sebze,13,0.6,3,0,category_fix,category: Genel -> Sebze,needs_review,Sarımsak porsiyon/makro değerleri USDA ile doğrulanmalı. DÜZELTME ÖNCELİĞİ YÜKSEK Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
154,Lahana (Beyaz),Genel,Sebze,25,1.3,5.8,0.1,category_fix,category: Genel -> Sebze,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
155,Kereviz,Genel,Sebze,16,0.7,3,0.2,category_fix,category: Genel -> Sebze,pending_verification,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
156,Pırasa,Genel,Sebze,54,1.3,12.6,0.3,category_fix,category: Genel -> Sebze,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
157,Enginar,Genel,Sebze,53,3.3,11.8,0.2,category_fix,category: Genel -> Sebze,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
158,Bamya (Haşlanmış),Genel,Sebze,33,2,7.5,0.2,category_fix,category: Genel -> Sebze,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
159,Semizotu,Genel,Sebze,20,2,3.4,0.4,category_fix,category: Genel -> Sebze,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
160,Taze Fasulye,Baklagil,Baklagil,31,1.8,7,0.1,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
161,Barbunya (Haşlanmış),Genel,Baklagil,127,8.7,22.8,0.5,category_fix,category: Genel -> Baklagil,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
162,Patlıcan Kızartma,Sebze,Sebze,320,4,18,26,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
163,Biber (Çiğ),Sebze,Sebze,31,1,7,0.3,none,review_metadata_added,needs_review,USDA adayı reddedilsin; doğru kaynak tekrar aranmalı Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
164,Karnabahar Kızartma,Sebze,Sebze,180,5,14,12,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
165,Patates Kızartması,Sebze,Sebze,365,4,48,17,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
166,Kaşkaval Peyniri,Süt Ürünleri,Süt Ürünleri,113,7,1,9,none,review_metadata_added,pending_verification,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
167,Çökelek,Genel,Süt Ürünleri,98,11,3,4.5,category_fix,category: Genel -> Süt Ürünleri,pending_verification,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
168,Kaymak,Genel,Süt Ürünleri,204,2.5,3,20,category_fix,category: Genel -> Süt Ürünleri,pending_verification,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
169,Krem Peynir,Süt Ürünleri,Süt Ürünleri,102,2,1.6,10,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
170,Mozzarella,Genel,Süt Ürünleri,85,6.3,1,6.3,category_fix,category: Genel -> Süt Ürünleri,pending_verification,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
171,Yarım Yağlı Süt,Süt Ürünleri,Süt Ürünleri,102,8,12,2.4,none,review_metadata_added,pending_verification,USDA eşleşmesini elle onayla; uygunsa verified yap Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
172,Yoğurt (Yarım Yağlı),Süt Ürünleri,Süt Ürünleri,77,4.3,5.6,3.8,none,review_metadata_added,needs_review,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
173,Yumurta (Çiğ),Genel,Yumurta,72,6.3,0.4,4.8,category_fix,category: Genel -> Yumurta,pending_verification,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
174,Sahanda Yumurta,Genel,Yumurta,196,13,1,15,category_fix,category: Genel -> Yumurta,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
175,Sucuklu Yumurta,Et & Tavuk,Et & Tavuk,380,20,2,32,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
176,Et Sote,Et & Tavuk,Et & Tavuk,285,28,6,16,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
177,Tas Kebabı,Genel,Et & Tavuk,340,26,12,22,category_fix,category: Genel -> Et & Tavuk,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
178,Musakka,Genel,Yemek,320,14,22,20,category_fix,category: Genel -> Yemek,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
179,Etli Güveç,Genel,Yemek,310,24,18,16,category_fix,category: Genel -> Yemek,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
180,Köfte (Ev Yapımı),Et & Tavuk,Et & Tavuk,280,22,8,18,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
181,Ciğer (Kızartma),Genel,Et & Tavuk,330,26,10,20,category_fix,category: Genel -> Et & Tavuk,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
182,Salam,Genel,Et & Tavuk,152,6,1,14,category_fix,category: Genel -> Et & Tavuk,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
183,Jambon,Genel,Et & Tavuk,46,5.5,0.5,2.5,category_fix,category: Genel -> Et & Tavuk,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
184,Erişte (Haşlanmış),Genel,Tahıl & Ekmek,220,8,42,2,category_fix,category: Genel -> Tahıl & Ekmek,pending_verification,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
185,Şehriye (Haşlanmış),Genel,Tahıl & Ekmek,157,5.8,30.9,0.9,category_fix,category: Genel -> Tahıl & Ekmek,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
186,Spagetti (Domates Soslu),Sebze,Tahıl & Ekmek,280,9,48,6,category_fix,category: Sebze -> Tahıl & Ekmek,pending_verification,Kaynak bulunana kadar pending kalsın Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
187,Bulgur Köftesi,Et & Tavuk,Et & Tavuk,210,6,36,5,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
188,Kırmızı Mercimek (Haşlanmış),Baklagil,Baklagil,116,9,20,0.4,none,review_metadata_added,needs_review,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
189,Yeşil Mercimek (Haşlanmış),Baklagil,Baklagil,116,9,20,0.4,none,review_metadata_added,needs_review,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
190,Barbunya Pilaki,Genel,Yemek,220,8,32,7,category_fix,category: Genel -> Yemek,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
191,Nohut Yemeği,Baklagil,Baklagil,260,12,36,8,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
192,Bamya Yemeği,Genel,Yemek,180,4,20,9,category_fix,category: Genel -> Yemek,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
193,Mücver,Genel,Yemek,240,8,18,16,category_fix,category: Genel -> Yemek,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
194,Patates Salatası,Sebze,Sebze,180,3,24,8,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
195,Çoban Salata,Genel,Sebze,85,2,10,4,category_fix,category: Genel -> Sebze,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
196,Piyaz,Genel,Yemek,220,10,28,8,category_fix,category: Genel -> Yemek,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
197,Falafel,Genel,Yemek,57,2.5,5.5,3,category_fix,category: Genel -> Yemek,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
198,Lahana Sarması,Yemek,Sebze,120,5,14,5,category_fix,category: Yemek -> Sebze,needs_review,TÜRKOMP/tarif hesabı gerekir Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
199,Ispanak Yemeği,Sebze,Sebze,140,5,10,9,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
200,Fırın Makarna,Tahıl & Ekmek,Tahıl & Ekmek,420,16,52,16,none,review_metadata_added,needs_review,Kaynak bulunana kadar pending kalsın Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
201,Balık Tava,Balık & Deniz,Balık & Deniz,320,24,18,18,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
202,Midye Tava,Balık & Deniz,Balık & Deniz,280,14,22,16,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
203,Kumpir,Genel,Yemek,450,12,58,18,category_fix,category: Genel -> Yemek,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
204,Dürüm (Tavuk),Et & Tavuk,Et & Tavuk,480,28,48,18,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
205,Yayla Çorbası,Çorba,Çorba,145,5,18,6,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
206,Şehriye Çorbası,Çorba,Çorba,130,4,20,4,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
207,Düğün Çorbası,Çorba,Çorba,160,8,14,8,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
208,Brokoli Çorbası,Çorba,Çorba,110,5,12,5,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
209,Yüksük Çorbası,Çorba,Çorba,155,6,22,5,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
210,Tahin Pekmez,Genel,Kahvaltılık,196,4,28,8,category_fix,category: Genel -> Kahvaltılık,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
211,Krep,Genel,Tahıl & Ekmek,180,6,24,7,category_fix,category: Genel -> Tahıl & Ekmek,needs_review,TÜRKOMP/tarif hesabı gerekir Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
212,Waffle,Genel,Tahıl & Ekmek,291,7,38,12,category_fix,category: Genel -> Tahıl & Ekmek,needs_review,TÜRKOMP/tarif hesabı gerekir Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
213,Poğaça (Zeytinli),Tahıl & Ekmek,Tahıl & Ekmek,280,6,32,14,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
214,Ayçiçek Yağı,Genel,Yağ & Sos,90,0,0,10,category_fix,category: Genel -> Yağ & Sos,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
215,Antep Fıstığı,Genel,Kuruyemiş,12,0.4,0.5,1,category_fix,category: Genel -> Kuruyemiş,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
216,Kaju,Genel,Kuruyemiş,157,5,9,12,category_fix,category: Genel -> Kuruyemiş,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
217,Leblebi,Genel,Kuruyemiş,120,6,18,2,category_fix,category: Genel -> Kuruyemiş,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
218,Karışık Kuruyemiş,Genel,Kuruyemiş,175,5,6,15,category_fix,category: Genel -> Kuruyemiş,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
219,Bisküvi (Petibör),Genel,Atıştırmalık,52,0.8,7.5,2,category_fix,category: Genel -> Atıştırmalık,pending_verification,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
220,Çikolata (Sütlü),Süt Ürünleri,Atıştırmalık,150,2,16,9,category_fix,category: Süt Ürünleri -> Atıştırmalık,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
221,Gofret,Genel,Atıştırmalık,140,2,18,7,category_fix,category: Genel -> Atıştırmalık,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
222,Cips (Patates),Sebze,Atıştırmalık,152,2,15,10,category_fix,category: Sebze -> Atıştırmalık,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
223,Kraker,Genel,Atıştırmalık,120,3,18,4,category_fix,category: Genel -> Atıştırmalık,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
224,Popcorn,Genel,Atıştırmalık,93,3,12,4,category_fix,category: Genel -> Atıştırmalık,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
225,Granola Bar,Tahıl & Ekmek,Tahıl & Ekmek,190,4,28,7,none,review_metadata_added,needs_review,USDA adayını elle kontrol et; pişmiş/çiğ farkını netleştir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
226,İrmik Helvası,Tatlı,Tatlı,280,4,38,13,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
227,Lokma,Genel,Tatlı,75,1,10,3.5,category_fix,category: Genel -> Tatlı,pending_verification,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
228,Turşu (Karışık),Genel,Sebze,20,0.5,4,0.1,category_fix,category: Genel -> Sebze,pending_verification,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
229,Peynirli Tost,Süt Ürünleri,Tahıl & Ekmek,340,14,36,16,category_fix,category: Süt Ürünleri -> Tahıl & Ekmek,needs_review,TÜRKOMP/tarif hesabı gerekir Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
230,Sucuklu Pide,Et & Tavuk,Tahıl & Ekmek,680,28,72,32,category_fix,category: Et & Tavuk -> Tahıl & Ekmek,needs_review,TÜRKOMP/tarif hesabı gerekir Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
231,Tavuklu Salata,Et & Tavuk,Et & Tavuk,220,24,10,10,none,review_metadata_added,needs_review,TÜRKOMP/tarif hesabı gerekir Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
232,Ton Salata,Genel,Yemek,195,22,8,9,category_fix,category: Genel -> Yemek,needs_review,Kategori düzelt + değer kontrol Kategori düzeltildi; besin değerleri değişmedi. Lif/şeker/sodyum placeholder sıfır; gerçek değerler eklenmeli.
